restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Aggarwal Fast Food,3.5,50,37,1,1,0,1,0,0,,Ahmedabad
Aggarwal Hotel,3.2,200,34,0,1,0,0,0,0,,Ahmedabad
Aggarwal Sweets,4,12,41,0,0,1,1,0,0,,Ahmedabad
Aggarwal Sweets,4.1,150,48,0,0,1,1,0,0,,Ahmedabad
Aggarwal Sweets,4.4,100,32,0,0,0,1,0,0,,Ahmedabad
Aggarwal Vaishno Dhaba,4.1,200,24,0,1,1,0,0,0,,Ahmedabad
Aggarwal Vaishnu Dhaba,3.5,100,21,0,1,0,0,0,0,,Ahmedabad
Agra Biryani Hotspot,3.9,300,38,0,1,0,0,1,0,,Ahmedabad
Agra Chat Bhandar,4,250,25,0,0,0,1,0,0,,Ahmedabad
Agra Chat Cafe,3.5,250,29,0,0,0,1,0,0,,Ahmedabad
Agra Fast Food And Restaurant,3.8,100,31,1,1,0,0,0,0,,Ahmedabad
Agra Jain Jalebi Bhandar,4.2,150,15,0,0,0,1,0,0,,Ahmedabad
Agra Misthan Bhandar,3.9,100,33,0,0,0,0,0,0,,Ahmedabad
Agra Mithai Ghar & Restaurant,4.2,100,19,0,0,0,1,0,0,,Ahmedabad
Agra Restaurant,4,100,45,0,1,0,0,1,0,,Ahmedabad
Agra Sweet House,4.2,50,15,0,0,0,1,0,1,,Ahmedabad
Agra Sweets,4.4,150,46,0,0,0,1,0,0,,Ahmedabad
Agra Vala Sweets,4.4,250,16,0,0,0,1,0,1,,Ahmedabad
Agrawal Brothers Frankie,4.3,100,35,0,0,1,0,0,0,,Ahmedabad
Agrawal Chat Bhandar,4.1,100,19,0,0,0,1,0,0,,Ahmedabad
Agrawal Dalwada House,3.8,250,19,0,0,0,1,0,0,,Ahmedabad
Agrawal Ji Ke Parathe,3.6,100,35,0,1,0,0,0,0,,Ahmedabad
Agrawal Lalaji Ghantewale,4.1,100,25,0,1,0,1,0,0,,Ahmedabad
